Database ID,Proposed date,Site,Field No.,Trench/location,Level/stratigraphy,Square/Locus,MNI,Age,Sex/gender,Disposal area,Burial type,"Construction, container, wrapping",Alignment (orientation),Body position,Vessels (pottery),Vessels (silicious),Vessels (metal),Vessels (stone),Jewellery,Pins,Weapons,Tools,Glyptic,Animal remains,Miscellaneous grave goods,Possible additional grave goods,Other excavator notes,Data source,Data collator notes,Site latitude,Site longitude,lng,lat
Sus188,Neo-Elamite II,Susa,-,"Apadana trench to the east of the palace, south cut",approximately 8 m depth,-,1,-,-,-,pit (?),"""funerary deposit""",-,-,-,-,-,-,"100 crude copper/bronze bracelets, 1 silver bracelet, 1 pin with a head of bitumen covered with silver, some gold beads ",-,-,-,-,-,"large quantity carbonised dates, 1 copper/bronze comb with iron teeth and ""traces of silvering""",-,-,"Mecquenem 1922: 9; Wicks 2019, SuU1",-,"32°11'30.11""N","48°14'54.48""E",32.1916972222222,48.2484666666667
Sus189,probably Middle Elamite ,Susa,-,"Apadana, trench to the east of the palace","depth of 9.5 m, below paving of the temple of Inshushinak",-,1,-,-,-,tomb,vaulted tomb,-,-,pottery,-,-,-,-,-,-,-,-,-,-,-,"pottery of ""period c"" (following ""Hammurabi period"", typified by pear-shaped vessels with very small feet and flat-edged cups/bowls; see also Mecquenem 1924b: 112)",Mecquenem 1923:4; 1924b: 115,-,"32°11'30.11""N","48°14'54.48""E",32.1916972222222,48.2484666666667
Sus190,Neo-Elamite I/Neo-Elamite II,Susa,-,"Apadana, trench to the east of the palace",level of 10.25 m,-,1,-,-,-,tomb,"large vaulted tomb, carefully constructed in baked brick, exterior l. 5 m, w. 2.4 m, h.2.8 m; in situ photograph shows ""voussoirs"" forming entrance; horizontal brick courses for lower walls, vault formed near top; back and rear comprise a single corbelled layer and the mid-section formed with bricks placed vertically; access chamber at one end, with several steps at the bottom; door in exterior wall permitting entry into the vestibule temporarily walled with bricks placed vertically; brick-paved main chamber floor divided by raised tiles (joined with mortar) into 4 rectangular compartments separated by access paths, and a row of tilted bricks in each compartment (for receiving heads of deceased?); a kind of vestibule against rear wall (or entry in Mecquenem 1924b: 116)",-,-,aligned in vestibule against rear wall (or entry): several rows of clay vessels including at least 1 tall Elamite beaker; near the lamps [location in chamber unclear]: numerous vessels of baked clay,"1 cylindrical blue glazed frit vessel with its cover, 1 small frit vessel with 2 compartments",bronze vessels,-,"in vestibule against the rear wall [or entry?]: piles of jumbled ornaments; location not specified: copper/bronze finger rings, shell finger rings, carnelian beads",-,1 copper/bronze dagger with ivory handle,-,-,-,"terracotta lamps, 1 copper/bronze lamp of the same form",-,"""epoque e"" date","Mecquenem 1923: 4-5, pls. 16 left (pyxis, photograph after excavation), 17 (in situ photograph), 18 (grave goods, photograph after excavation) and 19 bottom right (in situ photograph); 1924b: 115-116, fig. 10; 1943: 50, fig. 41 (tombeau C); Wicks 2019, SuC7, pls. 15, 16",-,"32°11'30.11""N","48°14'54.48""E",32.1916972222222,48.2484666666667
Sus191-G,Neo-Elamite (?),Susa,-,"Apadana, trench to the east of the palace",level of 10.25 m (?),-,-,-,-,-,vessel,vessels,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"according to Mecquenem besides the large (Neo-Elamite) tomb this excavation gave some vessel burials – it seems they should have been around the same level. This is supported by the other finds of lots of polychrome glazed silicious material (figurines, wall-knobs, and tiles) ",Mecquenem 1923: 5,probably at same level as large vaulted tomb (database ID Sus190),"32°11'30.11""N","48°14'54.48""E",32.1916972222222,48.2484666666667
Sus192-G,probably Sukkalmah ,Susa,-,"Apadana, trench to the east of the palace","outside and below the foundations of the east wall, near the surface, above overturned coffins (database IDs Sus194-G, Sus195-G, Sus196)",-,-,-,-,-,tomb,vaulted tombs,-,-,-,-,-,-,-,-,-,-,-,-,-,-," ""Elamite period""; surrounded by vessel burials of ""children""",Mecquenem 1926: 5,-,"32°11'30.11""N","48°14'54.48""E",32.1916972222222,48.2484666666667
Sus193-G,probably Sukkalmah,Susa,-,"Apadana, trench to the east of the palace","outside and below the foundations of the east wall, near the surface, above overturned coffins (database IDs Sus194-G, Sus195-G, Sus196)",-,-,juveniles,-,-,vessel,vessels,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""Elamite period""; surrounding vaulted tombs",Mecquenem 1926: 5,-,"32°11'30.11""N","48°14'54.48""E",32.1916972222222,48.2484666666667
Sus194-G,Shimashki/Sukkalmah,Susa,-,"Apadana, trench to the east of the palace",below clay coffins without mouldings (database ID Sus195-G),-,-,-,-,-,coffin,"overturned clay coffins, horizontal mouldings",-,-,-,-,-,-,-,-,-,-,-,-,-,-,uncovered at exterior of east wall,"Mecquenem 1926: 5; Wicks 2024, APEP2","database ID Sus193 belongs to this group; Wicks 2024, APEP2 combines these coffins with those of database ID Sus195-G","32°11'30.11""N","48°14'54.48""E",32.1916972222222,48.2484666666667
Sus195-G,Shimashki/Sukkalmah,Susa,-,"Apadana, trench to the east of the palace",above clay coffins with mouldings (database ID Sus194-G),-,-,-,-,-,coffin,"overturned clay coffins, no horizontal mouldings",-,-,-,-,-,-,-,-,-,-,-,-,-,-,uncovered at exterior of east wall,"Mecquenem 1926: 5; Wicks 2024, APEP2","Wicks 2024, APEP2 combines these coffins with those of database ID Sus194-G","32°11'30.11""N","48°14'54.48""E",32.1916972222222,48.2484666666667
Sus196,Shimashki/Sukkalmah,Susa,-,"Apadana, trench to the east of the palace, exterior of east wall",depth 5 m,-,1,-,-,-,coffin,"in situ photograph shows an overturned clay coffin, 2 or 3 horizontal mouldings, l. 118 cm, h./w. (?) 55 cm, Wicks 2024 type 10",-,"on right side, flexed legs, flexed arms","in situ photograph shows outside one end of coffin [with axe, arrowheads and copper/bronze vessel] 1 pottery vessel with red-painted neck next to another terracotta vessel; outside opposite end of coffin: 1 pottery (?) vessel",-,"in situ photograph shows outside one end of coffin [with axe, arrowheads and 2 terracotta vessels]: 1 copper/bronze vessel",-,inside coffin: earrings and 2 bracelets (1 silver) worn on body,-,"in situ photograph shows outside one end of coffin [with 2 terracotta vessels and copper/bronze vessel]: 1 axe [incorrectly listed inside coffin near skull] [Tallon 1987 suggests axe is variant B 3 a], ""handful"" of copper/bronze arrowheads [7 total as per Tallon 1987]",-,-,-,-,-,-,"Mecquenem 1926: 5, pl. 7 bottom left (in situ photograph); Tallon 1987: 87; Wicks and Dadfar 2020, C13; Wicks 2024, APEP2a",one of database ID Sus194-G,"32°11'30.11""N","48°14'54.48""E",32.1916972222222,48.2484666666667
Sus197,Neo-Elamite II (?),Susa,Vessel D,"Apadana, trench to the east of the palace",level of 10.25 m (as per database ID Sus190),-,1,juvenile,-,-,vessel,"vessel, h. 98 cm",-,-,-,-,-,-,inside vessel: some beads; an imported Egyptian amulet ,-,-,-,-,-,-,-,"""Neo-Babylonian"" date; vessel containing some bones of a ""child""","Mecquenem 1943: 50, fig. 41; Wicks 2019, SuV1, pl. 16",excavation year unknown - not identifiable in annual reports; found near database ID Sus190,"32°11'30.11""N","48°14'54.48""E",32.1916972222222,48.2484666666667
Sus198,Susa I,Susa,-,"Acropole sondage 1 (""near the castle"")",-,-,1,juvenile,-,settlement,pit,pit,-,-,near knuckles of hands: a cup decorated with parallel bands of black paint in the first style of Susa,-,-,-,-,-,-,-,-,-,-,-,"""this discovery allows us to affirm that we have indeed reached the level of Susa I and to note that the practice of second degree burials was not always observed as regards young individuals""; in Mecquenem 1930-40 (Outillage préhistorique d'un nouveau sondage profonde dans l'acropole de suse): 225-26: ""the entire skeleton in a little pit""; this is possibly one of the two burials found between 1929-1933 in Acropole sondage 1 at 7-8 m or more below level II: ""at the extremity of the excavation, a set of small pots and craters, a large crater in the middle of the excavation, two ""child"" burials at the base, accompanied by flared goblets, decorated with parallel bands"" (Mecquenem 1934b: 183)",Mecquenem 1930: 1; 1931b: 225-26 ,-,"32°11'16.92""N","48°14'45.86""E",32.1880333333333,48.2460722222222
Sus199,Susa III,Susa,-,"Acropole, a widening of the 1.20 m deep trench",below level II,-,1,-,-,-,pit (?),human bones [in a pit?],-,-,-,-,-,-,-,-,-,-,-,-,-,-,a [group of?] proto-Elamite tablet with human bones accompanied by pebbles,Mecquenem 1923: 5,-,"32°11'16.92""N","48°14'45.86""E",32.1880333333333,48.2460722222222
Sus200,early Susa II ,Susa,-,"Acropole, sondage 2",-,-,1,juvenile,-,-,vessel,large vessel with flat base and 2 handles,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"remains of a ""child"", the ""bones were collected in the vessel""","Mecquenem 1926: 2, fig. 1 (burial vessel, photograph after excavation); 1934b: 198, fig. 32.12; Le Breton 1957; Dyson 1966: pl. XLVIII","dates to Le Breton 1957 level Bb, just before bevel-rim bowls","32°11'16.92""N","48°14'45.86""E",32.1880333333333,48.2460722222222
Sus201-G,Susa III and/or early Susa IVA,Susa,-,"Acropole, sondage 2, south border of the tell",upper level,-,-,-,-,-,pit (?),[pits?],-,-,vessels [pottery?],-,-,-,beads,-,-, spindle whorls,seals,-,-,-,"""it was a question of finding painted vessels similar to those of Tepe Moussian - we had fortuitously collected last year two beautiful fragments of polychrome vessels on this site - and of looking for tombs prior to 3000 BC. We recognized these tombs with difficulty; because the bones have almost completely disappeared; but the disposition of the vessels, of the objects which accompany them such as the beads of necklaces, seals, spindle whorls, cannot leave any doubts"". Note there is certainly Susa II material in this ""level"", but it seems to be at the base.; A possible reference to these burials appears in Mecquenem 1934b: 189: ""Sounding II: From the second level (level o) to 3 m 80 [fig. 20 cross section shows this level directly above ""burials with bowls"", which should be Susa II]. We did not observe any construction remains. We encountered many tombs, difficult to observe, the skeleton being represented only by thin splinters. It is possible that the burials were made in mud brick vaults, or in pits. The furniture is caught in a hard, compact and crushed earth; often, a meter above the objects, one had observed a bed of pebbles or sherds of pots.""",Mecquenem 1932: 3,-,"32°11'16.92""N","48°14'45.86""E",32.1880333333333,48.2460722222222
Sus202-G,probably Susa III and Susa II,Susa,-,"Acropole, sondage to the south (sondage 2)","level II (0 m to - 3.80 m) [see levels in Mecquenem 1934b, fig, 20]",-,-,juveniles,-,-,pit,pits,-,-,-,-,-,stone vessels,"necklaces of white clay beads, adorned with small amulets",-,-,-,-,-,"toys, such as polished balls of marble or bitumen, or terracotta pucks or playing pieces (no ""dolls"" at this level) [Schmandt-Besserat (1992: 74) observed of Mecquenem’s reports in 1934b: 192-93, that ""complex and perforated tokens (""small bits of clay of various shapes and often perforated"") were present between 0 and 3.8 m, whereas the plain tokens (""marbles, stone and bitumen discs"") are described in deeper levels, between 3.8 and 5.6 m""]",-,"burials indicated mainly by the grave goods; the bones had, in general, completely disappeared; near the axis of the tell, we collected proto-Elamite tablets, small stoppers bearing proto-Elamite signs, and the inscribed tablets were still at the base of the trench; the painted vessels with red and black decoration, not resistant to water, were found only in the upper part of the trench; These burials seem to appear in Mecquenem 1934b: 189, 191-93: ""Sounding II: From the second level (level o) to 3 m 80 [fig. 20 cross section shows this level directly above ""burials with bowls"", which should be Susa II]. We did not observe any construction remains. We encountered many tombs, difficult to observe, the skeleton being represented only by thin splinters. It is possible that the burials were made in mud brick vaults, or in pits. The furniture is caught in a hard, compact and crushed earth; often, a meter above the objects, one had observed a bed of pebbles or sherds of pots […] to the southeast we are below the level of the Proto-Elamite tablets [see schema in fig. 20] ""children's"" burials are indicated by the presence of small terracotta and stone vessels, necklaces of small beads in limestone clay, joined together in several rows by means of rectangular beads in black, bituminous clay, pierced with numerous parallel holes. Amulets of stone and shell adorned these necklaces. We present a selection (fig. 27) […] Other toys are found in ""children's burials"": balls of dm. 3-4 cm in marble, aragonite, cut bitumen, aragonite spindle whorls, small masses of fired clay, often pierced, of diverse shapes (fig. 28 [these appear to be tokens?])","Mecquenem 1933: 2; 1934b: 189, 191-93; amongst the child burials discussed generally in 1943: 25-27",-,"32°11'16.92""N","48°14'45.86""E",32.1880333333333,48.2460722222222
Sus203-G,probably Susa III and Susa II,Susa,-,"Acropole, sondage to the south (sondage 2)","level II (0 m to - 3.80 m) [see levels in Mecquenem 1934b, fig, 20]",-,-,adults,-,-,pit,pits,-,-,"large terracotta jars, coarse bowls",-,-,-,-,"some copper pins, bone pins",stone mace heads; 1 copper spear point,bone tools,-,-,archaic cylinders [perhaps seals?],-,"copper is rare apart from the spear point and pins; near the axis of the tell, we collected proto-Elamite tablets, small stoppers bearing Proto-Elamite signs, and the inscribed tablets were still at the base of the trench; the painted vessels with red and black decoration, not resistant to water, were found only in the upper part of the trench; These burials appear in Mecquenem 1934b: 189, 193-94: ""Sounding II: From the second level (level o) to 3 m 80 [fig. 20 cross section shows this level directly above ""burials with bowls"", which should be Susa II]. We did not observe any construction remains. We encountered many tombs, difficult to observe, the skeleton being represented only by thin splinters. It is possible that the burials were made in mud brick vaults, or in pits. The furniture is caught in a hard, compact and crushed earth; often, a meter above the objects, one had observed a bed of pebbles or sherds of pots. […] p. 193: ""adult burials are marked with larger, usually empty vessels, maces, seals [the seals, some shown in fig. 32 are both Susa II and Proto-Elamite]; the pottery consists of large pots […] at about 2 m, there were crude bowls in two cases, these bowls were nested into each other forming a circle; for one of these tombs, there were two circles of bowls superimposed representing, in total, 120 of these vessels. "" ","Mecquenem 1933: 2; 1934b: 189, 193-94",-,"32°11'16.92""N","48°14'45.86""E",32.1880333333333,48.2460722222222
Sus204-G,probably Susa II,Susa,-,"Acropole, sondage to the south (sondage 2)","below level II, between -3.80 and -5.70 m [see levels in Mecquenem 1934b, fig, 20] ",-,-,juveniles (and adults?),-,-,pit,pits,-,-,"(in Mecquenem 1934b the furniture consists mainly of coarse [clay] bowls, with other forms)",-,-,in richer burials: marble or sandstone vessels,-,"copper pins, often with ornamented heads",-,"sometimes long and thin needles, rare hooks",-,-,"sometimes ""children's"" burials contain animal figurines, more often spindle whorls and pucks, also terracotta wall nails (their presence in groups in ""child"" burials suggested to us their use as skittles)",-,"caption of Mecquenem 1934b, fig. 32 with some of the goods labels this level ""32nd century""; copper is very rare (only the pins, needles, and hooks); pit burials ""indicated above all by coarse bowls, in terracotta""; there are also jars, beakers, pots with handles (cont. p. 3) Proto-Elamite tablets are missing [in the level], but there are still impressed clay lumps (including showing a weaving scene); Denise Schmandt-Besserat (1992: 74) ponders whether the 2-part clay box with oval cavities holding 3 discs was a special means of storing tokens; Note that Schmandt-Besserat (1992: 74) observed of Mecquenem’s reports in Mecquenem 1934b: 192-93, that ""complex and perforated tokens (""small bits of clay of various shapes and often perforated"") were present between 0 and 3.8 m, whereas the plain tokens (""marbles, stone and bitumen discs"") are described in deeper levels, between 3.8 and 5.6 m""; comments on this level in Mecquenem 1934b: 194-97: p. 194: burials poorer than the preceding ones, furniture consists mainly of coarse bowls, with other forms (main types from this level and the next shown in fig. 32, labelled 36th and 32nd centuries), rare handled terracotta and sandstone pots (fig. 33, labelled 33rd century); ""child"" burials still marked by toys, marbles, and above all stone and bitumen discs, 3 of these discs inside a terracotta box consisting of two oval trays, lots of terracotta cones similar to wall nails (which children played with), several bearing graffiti; bead necklaces, rings and bracelets are now missing, copper is rare and in form of pins (fig. 34 labelled 33rd century); we no longer find cylinders, but there are stamp seals (some with rings) with engraved heads, inscribed tablets missing","Mecquenem 1933: 2-3; 1934b: 194-97, fig. 20 (location), figs. 32-34",-,"32°11'16.92""N","48°14'45.86""E",32.1880333333333,48.2460722222222
Sus205-G,Susa II (?),Susa,-,"Acropole, sondage to the south (sondage 2)",between 5.70 and 9.10 m below level II (0 m),-,-,juveniles (and adults?),-,remains of constructions [domestic?] at lower levels,pit,pits,-,-,-,-,-,-,-,-,-,-,-,-,-,"possibly some of the same contents found in ""the previous burials"" (database ID Sus204-G): marble or sandstone vessels, figurines of animals, spindle whorls, pucks, also terracotta nails, rare copper items, e.g., pins, needles, hooks","""36th century"" date according to a caption of Mecquenem 1934b, fig. 32 showing some of the goods; at upper part of excavation, ""the previous burials"" (database ID Sus204-G) are rarer [than at 3.80 and 5.70 m below level II (0 m)]; deeper we find remains of constructions, platforms and mud brick walls, most often rectangular (28 x14 x10); Mecquenem 1934b: 197-98 has this level as 5.6 m [not 5.7 m] to 9.10 m, ""up to 8 m, we are still in the necropolis; the burials are still furnished with coarse bowls; the remains of a ""child"" were in a two-eared jar (fig 32.12 – found in 1926, see database ID Sus197) […] remains of mud brick constructions""",Mecquenem 1933: 3; 1934b: 197-98; possibly amongst the child burials discussed generally in 1943: 25-27,-,"32°11'16.92""N","48°14'45.86""E",32.1880333333333,48.2460722222222
Sus206-G,Susa II (?),Susa,-,"Acropole, sondage 2, widening the large Morgan Trench, ""attack to the east""",from level II (0) to -3.90 m,-,-,-,-,-,pit,many pits,-,-,terracotta vessels,-,-,-,"quartz and limestone paste beads, amulets [could be pierced tokens mistaken as amulets]",-,-,-,seals and cylinders,-,"various stones, metal objects",-,metal objects are rare in the burials; proto-Elamite tablets found at the top of the trench to the east and at the base to the west ,"Mecquenem 1934: 1, pl. 2 left top, centre and bottom (photographs of trench) and 5 (trench plan)",-,"32°11'16.92""N","48°14'45.86""E",32.1880333333333,48.2460722222222
Sus207-G,Susa II,Susa,-,"Acropole, sondage 2, widening the large Morgan Trench, ""attack to the east""",from -3.90 to -5.80 m,-,-,especially juveniles,-,-,pit (?),"many ""burials"" [in pits?]",-,-,"coarse bowls (""the main grave goods"")",-,-,sometimes stone vessels,-,-,-,-,-,-,"marble and bitumen balls, discs of the same material, terracotta nails, animal figurines",-,"to the west, almost level with the ground, were proto-Elamite tablets. Clay bullae with seal imprints that reproduce scenes of daily occupations (i.e., Susa II)",Mecquenem 1934: 2,"not clear if the burials were higher or lower than the proto-Elamite tablets but the pendants found with this group of burials are considered Susa II, and the bowls are probably Susa II","32°11'16.92""N","48°14'45.86""E",32.1880333333333,48.2460722222222
Sus208,Susa II,Susa,-,"Acropole, sondage 2, widening the large Morgan Trench, ""attack to the east""",from -3.90 to -5.80 m; Mecquenem 1943 cote 17 ,-,1,"juvenile (""very young individual"")",-,-,pit (?),"""burial"" [in pit?]",-,-,-,-,-,-,"necklace with stone beads (possibly including quartz, carnelian, marble) separated by silver small ""Greek cross"" pendants (pl. 3 top)",-,-,-,-,-,-,-,one of two burials side by side (database IDs Sus208-209) of very young individuals with silver pendant necklaces,"Mecquenem 1934: 2, pl. 3 top (necklace parts, photograph after excavation); 1943: 15, fig. 12.4 (necklace)",-,"32°11'16.92""N","48°14'45.86""E",32.1880333333333,48.2460722222222
Sus209,Susa II,Susa,-,"Acropole, sondage 2, widening the large Morgan Trench, ""attack to the east""",from -3.90 to -5.80 m; Mecquenem 1943 cote 17,-,1,"juvenile (""very young individual"")",-,-,pit (?),"""burial"" [in pit?]",-,-,-,-,-,-,"necklace with stone beads possibly including quartz, carnelian, marble [in Mecquenem 1943: carnelian, lapis, mother-of-pearl, quartz and various rocks], several dentalia, 7 similar heart-shape pendants and 1 silver jewel decorated with two small doves",-,-,-,-,-,a small stone handle similar to small handles found in Ur III burials,-,one of two burials side by side (database IDs Sus208-209) of very young individuals with silver pendant necklaces,"Mecquenem 1934: 2, pl. 3 top (necklace parts, photograph after excavation); 1943: 15-16, fig. 12.1-2, 12.6-8",-,"32°11'16.92""N","48°14'45.86""E",32.1880333333333,48.2460722222222
Sus210-G,Susa II,Susa,-,"Acropole, sondage 2, widening the large Morgan Trench, ""attack to the east""",from -5.80 to -9.80 m,-,-,-,-,-,pit (?),"""burials"" ""generally lined with coarse bowls""",-,-,-,-,-,-,-,-,-,-,-,-,"""very few things""",-,"with the exception of a massif of unbaked bricks at the western end of the trench, we did not encounter any constructions",Mecquenem 1934: 2,-,"32°11'16.92""N","48°14'45.86""E",32.1880333333333,48.2460722222222
Sus211-G,Susa II,Susa,-,"Acropole, sondage 2, widening the large Morgan Trench, ""attack to the east"", towards the western end",from -5.80 to -9.80 m,-,-,-,-,-,pit (?),"""several burials""",-,-,-,-,-,-,-,-,-,-,-,-,"within a certain radius, several burials contained triangular or rectangular terracotta plaques, small sticks of the same material, with a herringbone profile, joined at one end by a small pierced bar; they were in association with square, rectangle and triangle plates, the tops of which are drilled for fixing. Small terracotta nails, not uncommon at this level, are decorative elements for mud brick walls; at Warka about 10 m of this decoration were reconstructed, but at Susa we find them in bundles in the burials of ""children"", who must have found them in ruins of ancient buildings and used them as skittles or as small elements of construction games",-,"base of the level yielded fragments of Susa I pottery; Mecquenem 1943: 13: in the ruins of the constructions of the west there were in the burials (at cote 14) small triangular or rectangular plates in pink terracotta (fig. 7.1, 7.3) and small jagged square frames in white terracotta (fig. 7.2), all with pierced holes. One might think that these are children's games; but as one generally finds terracotta nails in these tombs, we believe that plates and frames were also intended for the same purpose (building decoration), but they were appropriated by children",Mecquenem 1934: 2-3; 1943: 13,"since the items reported with the burials were found ""within a certain radius"" of them, perhaps they had already been present in the ground where the burials were deposited (perhaps deriving from an architectural feature?)","32°11'16.92""N","48°14'45.86""E",32.1880333333333,48.2460722222222
Sus212-G,Susa I,Susa,-,"Acropole, sondage 2, widening the large Morgan Trench, ""attack to the east""",from -9.80 m to -11.80 m.,-,-,-,-,-,pit (?),"""burials"" (?) [in pits?]",-,-,-,-,-,-,-,-,-,-,-,-,-,pots [based on presence of sherds],"""an absence of metal, the quantity of fragments of [Susa I] vessels (pl.III,2), the absence of intact vessels, lead us to believe that the tombs of Susa I were systematically destroyed in order to obtain metal. The rarity of it in the upper layer would prove that it was still too valuable to be lavished on burials"" ",Mecquenem 1934: 3,difficult to discern whether there was concrete evidence of burials or just pottery remains assumed to belong to burials,"32°11'16.92""N","48°14'45.86""E",32.1880333333333,48.2460722222222
Sus213-G,Susa II,Susa,-,"Acropole, sondage 2, widening the large Morgan Trench, ""attack to the west""",from level II (0) to -7 m,-,-,-,-,-,pit (?),"""burials"" [in pits?]",-,-,coarse bowls,-,-,-,-,-,-,-,-,-,-,-,the work was rather thankless in a zone rich in burials with coarse bowls,Mecquenem 1934: 3,-,"32°11'16.92""N","48°14'45.86""E",32.1880333333333,48.2460722222222
Sus214-G,Susa III (?),Susa,-,"Acropole sondage 2, in the south of the tell, northern half of trench",from the 2nd level to -3.50 m below (?),-,-,juveniles,-,-,pit (?),"""burials"" [in pits?]",-,-,terracotta vessels,-,-,stone vessels,"clay bead necklaces, amulets [probably pierced tokens]",-,stone maces,aragonite spindle whorls,cylinder seals,-,-,-,also in this level/part of the trench were proto-Elamite tablets and lots of imprints on vessel caps,"Mecquenem 1935: 1, pl. 3 (trench plan)","these are possibly amongst the ""child"" burials discussed generally in Mecquenem 1943: 25-27","32°11'16.92""N","48°14'45.86""E",32.1880333333333,48.2460722222222
Sus215-G,Susa II/III (?),Susa,-,"Acropole sondage 2, a trench perpendicular to the previous one widened the great Morgan trench, ",from the 2nd level down to -8 m,-,-,juveniles,-,-,pit (?),"""burials"" [in pits?]",-,-,-,-,-,alabaster and aragonite vessels,amulets [probably pierced tokens],-,-,-,seals,-,-,-,-,"Mecquenem 1935: 2, pl. 2 top (photograph of trench)",-,"32°11'16.92""N","48°14'45.86""E",32.1880333333333,48.2460722222222
Sus216-G,Susa II,Susa,-,"Acropole sondage 2, a trench perpendicular to the previous one widened the great Morgan trench",from -6 m to -9.50 m,-,-,juveniles,-,-,pit (?),"""burials"" [in pits?]",-,-,coarse bowls,-,-,-,-,-,-,-,-,-,-,-,the beginnings of unbaked earth constructions from the previous campaign did not continue,"Mecquenem 1935: 2, pl. 2 top (photograph of trench)",-,"32°11'16.92""N","48°14'45.86""E",32.1880333333333,48.2460722222222
Sus217-G,Susa III (?),Susa,-,"Acropole, south (should be sondage 2)",level from 0 m to -3.50 m ,-,-,juveniles,-,mud brick constructions/wall foundations (?) [relationship to burials unclear],pit (?),"""burials"" [in pits?]",-,-,-,-,-,-,stone and clay bead necklaces,copper pins,"maces, 2 arrowheads ","terracotta and aragonite spindle whorls, copper hooks","cylinder seals, flat seals",-,"balls, pucks, a copper ring",-,-,Mecquenem 1936: 1,"these are possibly amongst the ""child"" burials discussed generally in Mecquenem 1943: 25-27, one of which is certainly pit burial database ID Sus218","32°11'16.92""N","48°14'45.86""E",32.1880333333333,48.2460722222222
Sus218,Susa III (?),Susa,-,"Acropole, south (should be sondage 2)",level from 0 m to -3.50 m,-,1,"juvenile (""about 10 years"")",-,-,pit,placed on a bed of pebbles,-,-,"1 black earthenware pot with a handle, 1 red earthenware bowl",-,-,-,-,-,-,-,-,-,-,-, ,Mecquenem 1936: 1; 1943: 25,-,"32°11'16.92""N","48°14'45.86""E",32.1880333333333,48.2460722222222
Sus219-G,Susa III (?),Susa,-,"Acropole, south (should be sondage 2)","level from 0 m to -3.50 m, at base of trench ""pre-sargonic""",-,-,-,-,-,vessel,large terracotta vessels,-,-,-,-,-,"""near the [burial] vessels"": small alabaster or aragonite vessels for perfume or makeup","""near the [burial] vessels"": lozenge beads",-,-,-,-,-,-,-,"the vessels ""sometimes containing bones""; general note for this very large (3.5 m high) level: we collected about thirty proto-Elamite writing tablets, imprints of stamps on jar caps",Mecquenem 1936: 1; ,these are possibly amongst the vessel burials mentioned in Mecquenem 1943: 25,"32°11'16.92""N","48°14'45.86""E",32.1880333333333,48.2460722222222
Sus220-G,Susa II (?),Susa,-,"Acropole, south (should be sondage 2)",level -5.50 m to -9.50 m,-,-,juveniles,-,mudbrick constructions - crushed earth or fire-hardened silo bottoms - kitchen wells filled with debris from crockery (?) [relationships to burials unclear],pit (?),"numerous ""burials"" [in pits?]",-,-,coarse bowls,-,-,-,-,-,-,"terracotta spindle whorls, some tools, in particular bone awls (sometimes engraved)",-,-,"terracotta cones, terracotta amulets [probably tokens?] ",-,-,Mecquenem 1936: 1-2,the burials associated with coarse bowls are likely to be Susa II,"32°11'16.92""N","48°14'45.86""E",32.1880333333333,48.2460722222222
Sus221-G,Susa II (?),Susa,-,"Acropole, south (should be sondage 2)",level -5.50 m to -9.50 m,-,-,-,-,-,pit (?),"""burials"" [in pits?]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""similar"" to those found in the east part of the trench (see cat?)",Mecquenem 1936: 2,date follows suggestion for burials in east part of the trench,"32°11'16.92""N","48°14'45.86""E",32.1880333333333,48.2460722222222
Sus222-G,Susa I,Susa,-,"Acropole, south (should be sondage 2)",level -9.50 m to -11 m ,-,-,juveniles,-,several bottoms of silos and ovens [relationship to burials unclear],sherd,"several ""burials"", body laid out on beds of sherds of pottery painted or with red engobe",-,-,"several complete painted vessels, always of small dimensions (e.g., pl.3 bottom left)",-,-,-,-,-,-,-,in almost every burial: a seal (one was light yellow pottery with traces of bright yellow-brown paint),-,-,-,-,"Mecquenem 1936: 2, pl. 3 bottom left (vessel, photograph after excavation)","probably amongst the burials described in Mecquenem 1943: 5: in the Susa I layer [where one encounters the bottoms of silos, potters' kilns] there were ""child"" burials; the body is lying on one side, the limbs most often bent; it rests on a bed of fragments of pots; it is accompanied by small vessels (figs. 2.2 and 3.1-2), small terracotta dolls (fig. 3.7-11), small animals (fig. 3.12-14), often a stamp (fig. 3.5-6), sometimes a few beads of terracotta, lime paste or black composition, small terracotta stylets, spindle whorls, small polished stone axes, clay sling balls","32°11'16.92""N","48°14'45.86""E",32.1880333333333,48.2460722222222
